lease_id,date_of_lease_date,first_day_of_term_date,last_day_of_term_date,lease_expiration_date,rent_security ,rent_security_type,tenant_id,tenant_name,is_company,from_date,to_date,type_code,option_by_code,term,notice_term,notice_term_date,term_frequency,fund_id,property_id ,unit_id,unit_type,gross_area ,net_area,vacant,vacancy_note,amount_rent,amount_service_charge,amount_others,amount_discount,term_frequency,charge_frequency,vat_code,vat_rate,vat_amount,start_payment_schedule,end_payment_schedule,currency_code,index_series,index_type,start_date,index_frequency,index_date,value,value_sr2,index_date_sr2
0231/T001,2007/11/01,2007/11/01,,2028/01/31,"270,000.00",Deposit,TN01,New Yorker Süd Jeans- und Sportswear GmbH & Co. KG,1,2028/02/01,2033/01/31,30,20,60,12,2027/01/31,60,FD231,PRP01,10000,Handel,440.8900,440.8900,0,,"45,600.00","1,825.00",0.00,"  -45,600.00 ",60,60,1,19,20,2007/11/01,2028/02/01,EUR,CPI,Fester Rhythmus,2007/11/01,12,2024/01/01,0,,
0231/T001,2007/11/01,2007/11/01,,2028/01/31,,,TN01,New Yorker Süd Jeans- und Sportswear GmbH & Co. KG,1,2028/02/01,2033/01/31,30,20,60,12,2027/01/31,60,FD231,PRP01,10001,Handel,465.3300,465.3300,0,,"16,615.00","1,825.00",0.00,"  -16,615.00 ",60,60,1,19,20,2007/11/01,2028/02/01,EUR,CPI,Fester Rhythmus,2007/11/01,12,2024/01/01,0,,
0231/T001,2007/11/01,2007/11/01,,2028/01/31,,,TN01,New Yorker Süd Jeans- und Sportswear GmbH & Co. KG,1,2028/02/01,2033/01/31,30,20,60,12,2027/01/31,60,FD231,PRP01,10002,Handel,531.1700,531.1700,0,,"12,802.00","1,825.00",0.00,"  -12,802.00 ",60,60,1,19,,2007/11/01,2028/02/01,EUR,CPI,Fester Rhythmus,2007/11/01,12,2024/01/01,0,,
0231/T001,2007/11/01,2007/11/01,,2028/01/31,,,TN01,New Yorker Süd Jeans- und Sportswear GmbH & Co. KG,1,2028/02/01,2033/01/31,30,20,60,12,2027/01/31,60,FD231,PRP01,40000,Lager/Archiv,558.2500,558.2500,0,,"4,983.00","1,825.00",0.00,"  -4,983.00 ",60,60,1,19,,2007/11/01,2028/02/01,EUR,CPI,Fester Rhythmus,2007/11/01,12,2024/01/01,0,,
0231/T004,1997/08/01,1997/08/01,,2026/12/31,,,TN04,Land Baden Württemberg Abteilung 2 - Immobilienmanagement,1,2027/01/01,2024/12/31,10,30,12,36,2024/01/31,60,FD231,PRP01,20001,Büro,"1,672.0000","1,672.0000",0,,"26,913.00","5,200.00",0.00,0.00,60,60,0,0,,1997/08/01,2027/01/01,EUR,CPI,Prozent,1997/08/01,1,2024/01/01,10,,
0231/T006,2008/02/01,2008/02/01,,2025/06/30,,,TN06,Piech Holding GmbH,1,2025/07/01,2030/06/30,30,20,60,6,2024/12/30,60,FD231,PRP01,20002,Büro,164.0000,164.0000,0,,"2,534.00",0.00,0.00,0.00,60,60,1,19,,2008/02/01,2025/07/01,EUR,CPI,Prozent,2008/02/01,1,2024/01/01,10,,
0231/T006,2008/02/01,2008/02/01,,2025/06/30,,,TN06,Piech Holding GmbH,1,2025/07/01,2030/06/30,30,20,60,6,2024/12/30,60,FD231,PRP01,20003,Büro,113.0400,113.0400,0,,"1,924.00","1,350.00",0.00,0.00,60,60,1,19,,2008/02/01,2025/07/01,EUR,CPI,Prozent,2008/02/01,1,2024/01/01,10,,
0231/T007,2008/02/01,2008/02/01,,2030/06/30,"11,977.00",Deposit,TN06,Piech Holding GmbH,1,2030/07/01,2035/06/30,30,20,60,6,2029/12/30,60,FD231,PRP01,20004,Büro,342.2000,342.2000,0,,"7,280.00","1,625.00",0.00,0.00,60,60,1,19,,2008/02/01,2030/07/01,EUR,CPI,Prozent,2008/02/01,1,2024/01/01,10,,
0231/T008,2018/08/01,2018/08/01,,2020/06/30,"89,949.72",Deposit,TN08,VF Germany Services GmbH,1,2030/07/01,,,,,,,,FD231,PRP01,10004,Handel,75.0000,75.0000,0,,"13,903.00",250.00,403.20,0.00,60,60,1,19,,2018/08/01,,EUR,CPI,Prozent,2018/08/01,1,2024/01/01,3,,
0231/T008,2018/08/01,2018/08/01,,2023/05/19,,,TN08,VF Germany Services GmbH,1,2030/07/01,,,,,,,,FD231,PRP01,20000,Büro,100.0000,100.0000,0,,"13,903.00",250.00,403.20,0.00,60,60,1,19,,2018/08/01,,EUR,CPI,Prozent,2018/08/01,1,2024/01/01,3,,
0231/T009,2021/09/13,2021/09/13,,2027/09/12,"105,000.00",Deposit,TN09,Scotch & Soda Retail GmbH Plange Mühle 5,1,2027/09/13,2032/09/12,30,20,60,6,2027/03/31,60,FD231,PRP01,10003,Handel,178.0000,178.0000,1,,"30,000.00","1,700.00",0.00,0.00,60,60,1,19,,2021/09/13,2027/09/13,EUR,Contract,Step rent,2021/09/13,12,2023/09/13,"31,000",2024/09/13,"32,500.00"
0231/T009,2021/09/13,2021/09/13,,2027/09/12,,,TN09,Scotch & Soda Retail GmbH Plange Mühle 5,1,2027/09/13,2032/09/12,30,20,60,6,2027/03/31,60,FD231,PRP01,40001,Lager/Archiv,87.0000,87.0000,1,,0.00,0.00,0.00,0.00,60,60,1,19,,2021/09/13,2027/09/13,EUR,CPI,Fester Rhythmus,2021/09/13,,2023/09/13,0,,